2021-09-15T16:33:48.977258+0300 INFO, {'price_standart': 1400, 'price_express': 1640.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': 300, 'price_from_address': 300, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:35:19.531906+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:35:26.718129+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:35:26.913607+0300 INFO, {'price_standart': 1400, 'price_express': 1640.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': 300, 'price_from_address': 300, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:35:28.515335+0300 INFO, {'price_standart': 1400, 'price_express': 1640.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': 300, 'price_from_address': 300, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:36:55.630178+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:37:01.693716+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:37:01.879316+0300 INFO, {'price_standart': 1400, 'price_express': 1640.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': 300, 'price_from_address': 300, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:37:03.281214+0300 INFO, {'price_standart': 1400, 'price_express': 1640.0, 'convert_price': 600, 'inter_terminal': 800, 'price_to_address': 300, 'price_from_address': 300, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
2021-09-15T16:37:23.254087+0300 INFO, {'price_standart': 700, 'price_express': 850.0, 'convert_price': 600, 'inter_terminal': 500, 'price_to_address': 100, 'price_from_address': 100, 'times': {'term_standart_from': 1, 'term_standart_to': 2, 'term_express_from': 1, 'term_express_to': 1}} has been sent to frontend
